word,length,type
爱,1,single
爱好,2,compound
八,1,single
爸,1,single
爸爸,2,compound
吧,1,single
白,1,single
白天,2,compound
百,1,single
班,1,single
半,1,single
半年,2,compound
半天,2,compound
帮,1,single
帮忙,2,compound
包,1,single
包子,2,compound
杯,1,single
杯子,2,compound
北,1,single
北边,2,compound
北京,2,compound
本,1,single
本子,2,compound
比,1,single
别,1,single
别的,2,compound
别人,2,compound
病,1,single
病人,2,compound
不,1,single
不大,2,compound
不对,2,compound
不客气,3,compound
不用,2,compound
菜,1,single
茶,1,single
差,1,single
常,1,single
常常,2,compound
唱,1,single
唱歌,2,compound
车,1,single
车票,2,compound
车上,2,compound
车站,2,compound
吃,1,single
吃饭,2,compound
出,1,single
出来,2,compound
出去,2,compound
穿,1,single
床,1,single
次,1,single
从,1,single
错,1,single
打,1,single
打车,2,compound
打电话,3,compound
打开,2,compound
打球,2,compound
大,1,single
大学,2,compound
大学生,3,compound
到,1,single
地,1,single
地点,2,compound
地方,2,compound
地上,2,compound
地图,2,compound
的,1,single
得到,2,compound
等,1,single
弟,1,single
弟弟,2,compound
第,1,single
第,1,single
第二,2,compound
点,1,single
电,1,single
电话,2,compound
电脑,2,compound
电视,2,compound
电视机,3,compound
电影,2,compound
电影院,3,compound
东,1,single
东边,2,compound
东西,2,compound
动,1,single
动作,2,compound
都,1,single
读,1,single
读书,2,compound
对,1,single
对不起,3,compound
多,1,single
多少,2,compound
饿,1,single
儿子,2,compound
二,1,single
饭,1,single
饭店,2,compound
房间,2,compound
房子,2,compound
放,1,single
放假,2,compound
放学,2,compound
飞,1,single
飞机,2,compound
非常,2,compound
分,1,single
风,1,single
干,1,single
干净,2,compound
干什么,3,compound
高,1,single
高兴,2,compound
告诉,2,compound
哥,1,single
哥哥,2,compound
歌,1,single
个,1,single
给,1,single
跟,1,single
工人,2,compound
工作,2,compound
关,1,single
关上,2,compound
贵,1,single
国,1,single
国家,2,compound
国外,2,compound
过,1,single
还,1,single
还是,2,compound
还有,2,compound
孩子,2,compound
汉语,2,compound
汉字,2,compound
好,1,single
好吃,2,compound
好看,2,compound
好听,2,compound
好玩儿,3,compound
号,1,single
喝,1,single
和,1,single
很,1,single
后,1,single
后边,2,compound
后天,2,compound
花,1,single
话,1,single
坏,1,single
回,1,single
回答,2,compound
回到,2,compound
回家,2,compound
回来,2,compound
回去,2,compound
会,1,single
火车,2,compound
机场,2,compound
机票,2,compound
鸡蛋,2,compound
几,1,single
记,1,single
记得,2,compound
记住,2,compound
家,1,single
家里,2,compound
家人,2,compound
间,1,single
见,1,single
见面,2,compound
叫,1,single
教,1,single
教学楼,3,compound
介绍,2,compound
姐,1,single
姐姐,2,compound
今年,2,compound
今天,2,compound
进,1,single
进来,2,compound
进去,2,compound
九,1,single
就,1,single
觉得,2,compound
开,1,single
开车,2,compound
开会,2,compound
开玩笑,3,compound
看,1,single
看病,2,compound
看到,2,compound
看见,2,compound
考,1,single
考试,2,compound
渴,1,single
课,1,single
课本,2,compound
课文,2,compound
口,1,single
块,1,single
快,1,single
来,1,single
来到,2,compound
老,1,single
老人,2,compound
老师,2,compound
了,1,single
累,1,single
冷,1,single
里,1,single
里边,2,compound
两,1,single
零,1,single
六,1,single
楼,1,single
楼上,2,compound
楼下,2,compound
路,1,single
路口,2,compound
路上,2,compound
妈,1,single
妈妈,2,compound
马路,2,compound
马上,2,compound
吗,1,single
买,1,single
慢,1,single
忙,1,single
毛,1,single
没,1,single
没关系,3,compound
没什么,3,compound
没事儿,3,compound
没有,2,compound
妹,1,single
妹妹,2,compound
门,1,single
门口,2,compound
门票,2,compound
们,1,single
们,1,single
米饭,2,compound
面包,2,compound
面条儿,3,compound
名字,2,compound
明白,2,compound
明年,2,compound
明天,2,compound
拿,1,single
哪,1,single
哪儿,2,compound
哪里,2,compound
哪些,2,compound
那,1,single
那边,2,compound
那儿,2,compound
那里,2,compound
那些,2,compound
奶,1,single
奶奶,2,compound
男,1,single
男孩儿,3,compound
男朋友,3,compound
男人,2,compound
男生,2,compound
南,1,single
南边,2,compound
难,1,single
呢,1,single
能,1,single
你,1,single
你们,2,compound
年,1,single
您,1,single
牛奶,2,compound
女,1,single
女儿,2,compound
女孩儿,3,compound
女朋友,3,compound
女人,2,compound
女生,2,compound
旁边,2,compound
跑,1,single
朋友,2,compound
票,1,single
七,1,single
起,1,single
起床,2,compound
起来,2,compound
汽车,2,compound
前,1,single
前边,2,compound
前天,2,compound
钱,1,single
钱包,2,compound
请,1,single
请假,2,compound
请进,2,compound
请问,2,compound
请坐,2,compound
球,1,single
去,1,single
去年,2,compound
热,1,single
人,1,single
认识,2,compound
认真,2,compound
日,1,single
日期,2,compound
肉,1,single
三,1,single
山,1,single
商场,2,compound
商店,2,compound
上,1,single
上班,2,compound
上边,2,compound
上车,2,compound
上次,2,compound
上课,2,compound
上网,2,compound
上午,2,compound
上学,2,compound
少,1,single
身上,2,compound
身体,2,compound
什么,2,compound
生病,2,compound
生气,2,compound
生日,2,compound
十,1,single
时候,2,compound
时间,2,compound
事,1,single
试,1,single
是,1,single
是不是,3,compound
手,1,single
手机,2,compound
书,1,single
书包,2,compound
书店,2,compound
树,1,single
谁,1,single
水,1,single
水果,2,compound
睡,1,single
睡觉,2,compound
说,1,single
说话,2,compound
四,1,single
送,1,single
岁,1,single
他,1,single
他们,2,compound
她,1,single
她们,2,compound
太,1,single
天,1,single
天气,2,compound
听,1,single
听到,2,compound
听见,2,compound
听写,2,compound
同学,2,compound
图书馆,3,compound
外,1,single
外边,2,compound
外国,2,compound
外语,2,compound
玩儿,2,compound
晚,1,single
晚饭,2,compound
晚上,2,compound
网上,2,compound
网友,2,compound
忘,1,single
忘记,2,compound
问,1,single
我,1,single
我们,2,compound
五,1,single
午饭,2,compound
洗,1,single
洗手间,3,compound
喜欢,2,compound
西,1,single
西边,2,compound
下,1,single
下班,2,compound
下边,2,compound
下车,2,compound
下次,2,compound
下课,2,compound
下午,2,compound
下雨,2,compound
先,1,single
先生,2,compound
现在,2,compound
想,1,single
小,1,single
小孩儿,3,compound
小姐,2,compound
小朋友,3,compound
小时,2,compound
小学,2,compound
小学生,3,compound
笑,1,single
写,1,single
谢谢,2,compound
新,1,single
新年,2,compound
星期,2,compound
星期日,3,compound
星期天,3,compound
行,1,single
休息,2,compound
学,1,single
学生,2,compound
学习,2,compound
学校,2,compound
学院,2,compound
要,1,single
也,1,single
页,1,single
爷爷,2,compound
一,1,single
一半,2,compound
一边,2,compound
一点儿,3,compound
一会儿,3,compound
一块儿,3,compound
一起,2,compound
一下儿,3,compound
一些,2,compound
一样,2,compound
衣服,2,compound
医生,2,compound
医院,2,compound
用,1,single
有,1,single
有的,2,compound
有名,2,compound
有时,2,compound
有时候,3,compound
有些,2,compound
有些,2,compound
有一些,3,compound
有用,2,compound
右,1,single
右边,2,compound
雨,1,single
元,1,single
远,1,single
月,1,single
再,1,single
再见,2,compound
在,1,single
在家,2,compound
早,1,single
早饭,2,compound
早上,2,compound
怎么,2,compound
站,1,single
找,1,single
找到,2,compound
这,1,single
这边,2,compound
这儿,2,compound
这里,2,compound
这些,2,compound
着,1,single
真,1,single
真的,2,compound
正,1,single
正在,2,compound
知道,2,compound
知识,2,compound
中,1,single
中国,2,compound
中间,2,compound
中文,2,compound
中午,2,compound
中学,2,compound
中学生,3,compound
重,1,single
重要,2,compound
住,1,single
准备,2,compound
桌子,2,compound
桌子,2,compound
字,1,single
子,1,single
子,1,single
走,1,single
走路,2,compound
最,1,single
最好,2,compound
最后,2,compound
昨天,2,compound
左,1,single
左边,2,compound
坐,1,single
坐下,2,compound
做,1,single
